filename,width,height,class,xmin,ymin,xmax,ymax
20201018_121502_017_jpg.rf.c51a14fd608383ad354448b15b67c718.jpg,640,640,Q,180,142,484,552
1645708643-3140361_jpg.rf.97795898b871f0e5c2cc379509b2fa08.jpg,640,640,S,298,233,580,487
1645708428-7063668_jpg.rf.d9ffb6f01cce144684abc585184d6bc9.jpg,640,640,M,157,316,421,640
20201018_121115_024_jpg.rf.c195bc0c72323f8c022e6e9950ad18c0.jpg,640,640,K,139,131,429,640
1645708710-8815057_jpg.rf.3dbee068ec137afbe985ff651785426c.jpg,640,640,V,112,122,371,612
1645708831-9694939_jpg.rf.b8b9895074bc8b733c15be1726185cbb.jpg,640,640,X,285,178,575,593
1645708190-6754804_jpg.rf.b72da3079ea3a0b141718b880f380ec6.jpg,640,640,G,87,263,576,548
IMG_20230616_164106_jpg.rf.76258ad1d5409f107ff694633ce94ce6.jpg,640,640,J,105,161,597,391
IMG_20220221_112739_jpg.rf.8753a2e2caf564305d23ed6483265e72.jpg,640,640,O,246,52,570,409
20201018_121314_023_jpg.rf.9e3a09ef4d9637e9eb61b3eb21be6f8a.jpg,640,640,N,144,176,433,541
1645708456-5782006_jpg.rf.95cb6d4f0dbdb9a1828be18886040cde.jpg,640,640,N,182,231,519,620
1645708617-040021_jpg.rf.07de48895be1b3e9c64ed1f73d4ab73d.jpg,640,640,R,175,68,454,580
IMG_20220221_111843_jpg.rf.598a4e2c1caafc528e63814bd5099a2e.jpg,640,640,A,28,179,412,529
1645708852-5133712_jpg.rf.77fab8d3b86ee2e49044d03f7ffb9e02.jpg,640,640,Y,112,274,453,535
IMG_20220221_105150_jpg.rf.b6aeb907996fe0ea2cbd549bc8e45a7e.jpg,640,640,Q,161,167,433,577
IMG_20220221_113332_jpg.rf.39d958193e4bb230d443e9c578ad0a40.jpg,640,640,X,114,146,453,618
1645708430-209329_jpg.rf.316beb81f5e9cd73d1db9860b789fff4.jpg,640,640,M,202,302,484,640
20201018_120908_005_jpg.rf.878853e76fae3d57059cd6e8fa0f921e.jpg,640,640,G,84,210,616,521
20201018_120955_009_jpg.rf.2c625bb8f2d327bfe7810df13e50fab2.jpg,640,640,H,124,213,514,474
20201018_121613_027_jpg.rf.b799fbf87de8c244832caa38f9c9ab99.jpg,640,640,S,191,207,492,484
1645707989-907483_jpg.rf.b58cb890da9e548d005775e998dc2037.jpg,640,640,C,107,117,597,573
1645707915-6512933_jpg.rf.16ca064a6088b9e05f4ae6ba5f4a643c.jpg,640,640,B,174,68,507,599
20201018_121023_012_jpg.rf.370d0ff433789b008e56c36dad8cbad5.jpg,640,640,I,165,158,521,470
1645708669-3915389_jpg.rf.095f17765638b19c128901c0c832efa0.jpg,640,640,T,291,199,577,572
20201030_115416_005_jpg.rf.461bdbdb08fb2d00420932f026f54c5c.jpg,640,640,X,305,129,612,579
IMG_20220221_113405_jpg.rf.c7c9bf650522acb9110412a6fdec26d0.jpg,640,640,Y,191,293,587,620
20201018_120901_017_jpg.rf.c585c4ea21a4432833169ec96ba4bb71.jpg,640,640,G,0,222,513,509
20201030_115420_009_jpg.rf.631571435934383ed89b38efceb8f72a.jpg,640,640,X,148,147,448,592
1645707875-362499_jpg.rf.eec71d92a1d83f727c7c9536b236e033.jpg,640,640,A,230,168,532,493
1645714114-4521246_jpg.rf.c8bbfa193e0fc1b7eb6b0f236a439209.jpg,640,640,L,7,95,431,605
1645708732-8035066_jpg.rf.6397cdb71113971aa173d789e6ceefe0.jpg,640,640,W,105,139,484,602
1645708140-8496187_jpg.rf.956bea6b6f18d15cc2daf09c55db5c2b.jpg,640,640,F,165,44,488,499
1645707873-4433305_jpg.rf.ef480e7b8fcfaa59c398c7a4ffb46e7b.jpg,640,640,A,97,162,378,469
1645713857-2617517_jpg.rf.fbc0c6d773e15c1655c9f7a85f27545c.jpg,640,640,H,27,138,626,488
20201030_114306_017_jpg.rf.feba963410e02b77ee9ec83d78481cd0.jpg,640,640,D,172,128,596,578
1645949998-4656565_C_jpg.rf.68ba1dd0d7a760e876182e251d6103df.jpg,640,640,Q,216,205,429,509
20201018_121320_014_jpg.rf.cf24085174d4eb5c54bff74415827119.jpg,640,640,M,144,187,419,531
20201018_121816_006_jpg.rf.0865be640c3f76fd543a3aa4ec6f927f.jpg,640,640,V,174,110,491,604
20201018_120945_022_jpg.rf.c27d967720639c48bca8e508fe954542.jpg,640,640,H,87,240,485,499
1645708392-9610915_jpg.rf.cbd7311fd97415c450e115ac2ae9672f.jpg,640,640,L,44,138,556,640
1645714655-485461_jpg.rf.c9d8ad0a940cb66fedc968affc9ae6ee.jpg,640,640,W,108,62,532,573
IMG_20220221_113124_jpg.rf.bea58568e955199f059c7ca0415c382c.jpg,640,640,U,104,65,419,579
20201031_134454_009_jpg.rf.79cfbc514918d1692fde159ffdcbe206.jpg,640,640,Y,56,193,604,505
1645708853-0727856_jpg.rf.6cabd1ffa15b9b00bcb9d0171ad383de.jpg,640,640,Y,5,246,438,575
20201030_114740_008_jpg.rf.afdc46d06e8caa63714860bc0cbea3ae.jpg,640,640,M,35,240,293,590
20201030_114725_015_jpg.rf.e081d7da9b50c30224df6e04581061b4.jpg,640,640,L,63,133,532,620
20201030_114710_003_jpg.rf.e0235db3122d3b4fae73be05430ee2d7.jpg,640,640,L,0,171,389,640
1645708732-1926124_jpg.rf.7848821deb2581667f78f7402903ff50.jpg,640,640,W,179,158,601,640

IMG_20220221_112900_jpg.rf.4e8f4568ce0696c09c867aa320c103bb.jpg,640,640,P,180,73,612,586
20201018_121737_028_jpg.rf.23acf143b3b921e07b0e4946f70d778d.jpg,640,640,U,70,48,386,563
1645708712-3212857_jpg.rf.085608f73017e46636a00459924f9e1a.jpg,640,640,V,91,154,430,594
1645714104-8836398_jpg.rf.03cd263a75fe6dfe391549ff526a3979.jpg,640,640,L,222,216,640,617
1645708647-138733_jpg.rf.54af69702bfa3e2d99043161e301d7e6.jpg,640,640,S,286,278,557,533
1645708035-667313_jpg.rf.5217232f9a8f96b2f6408b944d05e489.jpg,640,640,D,118,81,538,577
20201018_121502_023_jpg.rf.c0f14ce0175610d4e69e548e00718b7b.jpg,640,640,Q,107,54,459,496
1645708886-8324027_jpg.rf.ba2bb31ba13cc05d33afe45c36bfedb7.jpg,640,640,O,257,223,563,513
1645708833-3050776_jpg.rf.c01f8139c6efa496fa57adbe0e24bae8.jpg,640,640,X,157,179,441,592
1645708395-137971_jpg.rf.f22b89689377285c06e79107b0f9fcc0.jpg,640,640,L,80,93,500,631
10_jpg.rf.7ba4c7affb7bf10a64a8d3dc46ec449b.jpg,640,640,J,104,265,527,477
1645708310-019775_jpg.rf.2288f46fb4bde1ccb24872513cb1d8cf.jpg,640,640,I,137,97,548,529
20201018_121122_019_jpg.rf.a7e013d7492ca73de83580808b0a135c.jpg,640,640,K,95,124,493,605
20201030_114946_022_jpg.rf.ed643d5f5396da5a0e26d035837656a1.jpg,640,640,C,241,227,596,590
20201030_114318_018_jpg.rf.59c3405390c6ce3a544d500beb16f8ff.jpg,640,640,D,141,63,615,565
20201018_120610_029_jpg.rf.1aede5e32bdf312da749ba82bc1e683d.jpg,640,640,A,175,147,531,506
